cd_code,napsid
1001,10102
1001,10401
1005,10201
1005,10301
1005,10602
1102,20101
1102,20104
1103,20201
1103,20301
1207,30701
1207,31101
1209,30113
1209,30115
1209,30116
1209,30117
1209,30118
1209,30120
1209,30601
1209,31001
1212,30901
1217,30301
1217,30302
1217,30310
1217,30311
1301,40202
1301,40203
1301,40204
1301,40206
1301,40207
1301,40209
1301,40501
1305,40701
1307,40302
1309,41201
1310,40103
1310,40104
1310,40801
1315,41302
2422,53401
2423,50304
2423,50306
2423,50307
2423,50308
2423,50309
2423,50310
2423,50311
2425,55701
2425,55702
2429,53701
2434,53301
2437,50801
2437,50802
2437,50803
2439,53801
2443,50404
2445,54801
2446,54101
2446,54102
2446,55501
2454,52201
2456,55301
2458,50108
2458,50119
2458,50121
2458,50122
2459,52601
2460,54501
2464,50137
2465,50111
2465,50112
2465,50113
2466,50102
2466,50103
2466,50104
2466,50107
2466,50109
2466,50110
2466,50115
2466,50116
2466,50120
2466,50123
2466,50126
2466,50128
2466,50129
2466,50130
2466,50134
2466,50135
2466,50136
2466,50138
2470,51401
2478,52301
2481,50203
2481,50204
2482,52401
2486,50604
2489,55101
2494,50504
2494,53101
2499,54201
3501,61201
3501,65701
3506,60101
3506,60104
3506,60105
3506,60106
3510,60302
3510,60303
3510,60304
3515,61103
3515,61104
3518,61701
3518,61702
3519,63201
3519,65101
3520,60401
3520,60402
3520,60403
3520,60410
3520,60413
3520,60414
3520,60417
3520,60418
3520,60419
3520,60420
3520,60421
3520,60422
3520,60423
3520,60424
3520,60425
3520,60429
3520,60430
3520,60433
3520,60435
3520,60440
3521,60415
3521,60428
3521,60432
3521,60434
3521,60450
3523,61802
3524,61601
3524,61602
3524,61603
3524,63001
3525,60501
3525,60512
3525,60513
3525,60514
3525,60515
3526,61301
3526,61302
3526,62901
3526,62902
3528,62601
3528,62701
3529,61402
3530,61501
3530,61502
3530,62801
3534,65301
3536,62201
3536,65801
3537,60204
3537,60211
3537,65601
3538,61004
3538,61005
3538,61009
3539,60901
3539,60903
3539,60904
3539,62401
3539,63601
3539,64301
3540,62101
3540,63701
3541,62501
3543,63101
3543,64401
3543,65001
3544,63301
3547,64201
3547,66201
3548,62001
3549,65201
3553,60602
3553,60607
3553,60609
3553,60610
3556,66001
3556,66101
3557,60706
3557,60707
3557,60709
3557,64101
3558,60806
3558,60807
3558,60809
3558,63401
3558,63901
3560,64001
3560,65901
4607,70203
4611,70118
4611,70119
4622,70501
4706,80109
4706,80110
4706,80111
4706,80801
4706,80901
